"Codigo Legem";"Atividade";"Comentarios";"vara"
"316686";"CONTESTAÇÃO APRESENTADA";"PROPOSTA DE ACORDO (APRESENTAR NA PRÓXIMA AUDIÊNCI";"- PROCON - ESTADUAL"
"317027";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência UNA - PE para o dia 16/06/2015";"1o JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"316948";"CONTESTAÇÃO APRESENTADA";"AUDIÊNCIA REALIZADA";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
"317349";"CONTESTAÇÃO APRESENTADA";"AUDIÊNCIA CANCELADA";"3o JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"229646";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"AGUARDANDO JULGAMENTO DE RI";"8o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"312628";"SENTENÇA - CONCLUSOS PARA";"Realizada Audiência. Remedido para arquivamento co";"- PROCON - MUNICIPAL"
"318248";"CONTESTAÇÃO APRESENTADA";"AUDIÊNCIA REALIZADA";"- PROCON - MUNICIPAL"
"318673";"ACORDO - FORMALIZADO";"PAGAMENTO DA CONDENAÇÃO.";"5o JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"135169";"SENTENÇA PARCIALMENTE PROCEDENTE";"";"JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ESPEC"
" 	122328";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"2º JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"116907";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"- PROCON - ESTADUAL"
"196010";"ACORDO - FORMALIZADO";"Formalizado acordo. Aguardando arquivamento.";"2º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"184366";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"4	16/04/2015	AUDIENCIA DE CONCILIACAO DESIGNADA 17";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
"184366";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência UNA - PB para o dia 17/06/2015";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
" 	173730";"SENTENÇA - CONCLUSOS PARA";"CONCLUSOS PARA JULGAMENTO 18/06/2014";"JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ESPEC"
" 	173730";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"06/02/2015	BAIXA DEFINITIVA 06/02/2015 08:03 TJERE";"JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ESPEC"
"155866";"SENTENÇA - CONCLUSOS PARA";"aguardando julgamento";"1º JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"319206";"SENTENÇA - CONCLUSOS PARA";"aguardando julgamento";"- PROCON - MUNICIPAL"
"155748";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"CERTIDÃO -  Certifico, para os devidos fins de dir";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"149726";"ACORDO - FORMALIZADO";"";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
